compare,target,time
ctrl1-ctrl2_vs_ce325_ce326,zip-5-celegans,850
ctrl1-ctrl2_vs_ce327_ce328,zip-5-celegans,850
m60_UW_rep1-m60_UW_rep2_vs_ce518_ce519,pag-3-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce524_ce525,C08G9.2-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce535_ce536,pqm-1-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce550_ce551,gmeb-2-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce556_ce557,Y22D7AL.16-celegans,50
m60_UW_rep1-m60_UW_rep2_vs_ce503_ce504,pag-3-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce507_ce508,C08G9.2-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce533_ce534,pqm-1-celegans,80
m60_UW_rep1-m60_UW_rep2_vs_ce542_ce543,gmeb-2-celegans,80
h6_UW_rep1-h6_UW_rep2_vs_ce528_ce529,pqm-1-celegans,350
h6_UW_rep1-h6_UW_rep2_vs_ce537_ce538,pqm-1-celegans,380
ctrl23-ctrl24_vs_ce548_ce549,gmeb-2-celegans,550
ctrl9-ctrl10_vs_ce564_ce565,gmeb-2-celegans,580
ctrl32-ctrl33_vs_ce520_ce521,pag-3-celegans,650
ctrl32-ctrl33_vs_ce526_ce527,C08G9.2-celegans,650
ctrl32-ctrl33_vs_ce539_ce540,pqm-1-celegans,650
ctrl32-ctrl33_vs_ce558_ce559,Y22D7AL.16-celegans,650
ctrl32-ctrl33_vs_ce562_ce563,gmeb-2-celegans,650
ctrl30-ctrl31_vs_ce505_ce506,pag-3-celegans,680
ctrl30-ctrl31_vs_ce510_ce511,C08G9.2-celegans,680
ctrl30-ctrl31_vs_ce530_ce531,pqm-1-celegans,680
ctrl30-ctrl31_vs_ce545_ce546,gmeb-2-celegans,680
ctrl30-ctrl31_vs_ce560_ce561,Y22D7AL.16-celegans,680
ctrl1-ctrl2_vs_ce513_ce514,C08G9.2-celegans,850
ctrl1-ctrl2_vs_ce522_ce523,pag-3-celegans,850
ctrl1-ctrl2_vs_ce552_ce553,Y22D7AL.16-celegans,850
ctrl13-ctrl14_vs_ce501_ce502,pag-3-celegans,880
ctrl13-ctrl14_vs_ce516_ce517,C08G9.2-celegans,880
ctrl13-ctrl14_vs_ce554_ce555,Y22D7AL.16-celegans,880
